 Nave, G., Johansson, S., Learner, R.C.M., Thorne, A.P., Brault, J.W. 1994.
  ApJSupp 94, 221-459.
 Schoenfeld, W.G., Chang, E.S., Geller, M., Johansson, S., Nave, G.,
  Sauval, A.J., and Grevesse, N. 1995. A&A, 301, 593-601.
   4.0  60754.71 ?    d6(1D)4s4p(1P) 3F   1Dsp1P 3F    not in Nave
   3.0     53773.590             d6(3D)4s4p(3P)4p 5F      3Dsp3P 5F  typo 
       in Sugar and Corliss 53733.583

   3.0  @  48122.925     1.236   d6(3G)4s4p(3P) v5F       3Gsp3P v5F
   2.0  @  48163.443     1.740   d5s2(6S)4p v5P           s2p v5P
   1.0     48221.321     0.007   3d7(4F)5s e5F            (4F)5s e5F
   5.0  @  48231.277     1.27   ?d6(3G)4s4p(3P) y5H       3Gsp3P y5H
   2.0  @  48238.844     1.267   d6(3G)4s4p(3P) v5F       3Gsp3P v5F
   1.0  @  48289.868     2.213   d5s2(6S)4p v5P           s2p v5P
   2.0  @  48304.640     1.263   d7(4P)4p x3P             (4P)4p x3P
   1.0  @  48350.603     0.230   d6(3G)4s4p(3P) v5F       3Gsp3P v5F
   4.0  @  48361.879     0.934   d6(3G)4s4p(3P) y5H       3Gsp3P y5H
   5.0  @  48382.600     1.018   d7(2G)4p z1H             (2G)4p z1H
   0.0  @  48460.110             d7(4P)4p x3P             (4P)4p x3P
   3.0  @  48475.683     0.584   d6(3G)4s4p(3P) y5H       3Gsp3P y5H
   1.0  @  48516.135     1.547   d7(4P)4p x3P             (4P)4p x3P
   3.0     48531.862     1.107   3d7(4F)5s e3F            (4F)5s e3F
   4.0  @  48702.532     1.063   d6(3H)4s4p(3P) y1G       3Hsp3P y1G
   2.0     48928.385     0.662   3d7(4F)5s e3F            (4F)5s e3F
   4.0  @  49108.893     1.181   d7(2G)4p w3F             (2G)4p w3F
   3.0  @  49135.020     1.211   d6(a3F)4s4p(3P) v3D      3Fsp3P v3D
   2.0  @  49242.618     0.954   d6(a3F)4s4p(3P) v3D      3Fsp3P v3D
   3.0  @  49242.883     1.165   d7(2G)4p w3F             (2G)4p w3F
   1.0  @  49297.632     0.562   d6(a3F)4s4p(3P) v3D      3Fsp3P v3D
   5.0  @  49352.338             d6(5D)4s(6D)5p n7D       s6D)5p n7D
   2.0  @  49433.128     0.677   d7(2G)4p w3F             (2G)4p w3F
   6.0  @  49434.160     1.17   ?d7(2G)4p y3H             (2G)4p y3H
   5.0  @  49460.899     1.163   d7(2G)4p v3G             (2G)4p v3G 
   3.0  @  49477.124             d6(a3F)4s4p(3P) 1F       3Fsp3P 1F
   4.0  @  49558.731             d6(5D)4s(6D)5p n7D       s6D)5p n7D
   5.0  @  49604.424     1.075   d7(2G)4p y3H             (2G)4p y3H 
   4.0  @  49627.881     0.914   d7(2G)4p v3G             (2G)4p v3G
   4.0  @  49726.987     0.929   d7(2G)4p y3H             (2G)4p y3H
   6.0  @  49758.139             d6(5D)4s(6D)5p 7F        s6D)5p 7F
   3.0  @  49805.254             d6(5D)4s(6D)5p n7D       s6D)5p n7D
   3.0  @  49850.587     0.763   d7(2G)4p v3G             (2G)4p v3G
   0.0  @  49951.341             d7(2P)4p w3P             (2P)4p w3P
   2.0  @  50008.519             d6(5D)4s(6D)5p n7D       s6D)5p n7D
   1.0  @  50043.210     1.389   d7(2P)4p w3P             (2P)4p w3P
   5.0  @  50052.191             d6(5D)4s(6D)5p n7F       s6D)5p n7F
   1.0  @  50152.616             d6(5D)4s(6D)5p n7D       s6D)5p n7D
   4.0  @  50185.740             d6(5D)4s(6D)5p n7P       s6D)5p n7P
   2.0  @  50186.831     1.469   d7(2P)4p w3P             (2P)4p w3P
   4.0  @  50303.222             d6(5D)4s(6D)5p n7F       s6D)5p n7F
   6.0     50342.126     1.490   3d6 4s(6D)4d e7F         s6D)4d e7F
   5.0     50377.905     1.510   3d6 4s(6D)4d f7D         s6D)4d f7D
