#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1933.75482   None    None   None  7376.764  59089.628  3d7.(4F).4s           a5F       3d6.4s.(4D).5p         3F*       9  7  None None        L11631c80 
  1934.53495 2.5e+07  -1.00   C+       0.000  51692.010  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       9  7  None T2227          L11631  
  1937.26831 2.2e+07  -1.07   C+       0.000  51619.076  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       9  7  None T2227          L11631  
  1939.74500   None    None   None   415.933  51969.101  3d6.4s2               a5D       3d7.(2P).4p           u3D*       7  7  None None        L11631c80  
  1940.66039 2.6e+07  -1.14   D+     415.933  51944.784  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       7  5  None T2227          L11631  
  1941.39989   None    None   None   704.007  52213.230  3d6.4s2               a5D       3d7.(2D2).4p          t3D*       5  7  None None        L11631c80 
  1945.09086   None    None   None   415.933  51827.413  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       7  5  None None           L11631  
  1945.27574   None    None   None   704.007  52110.601  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       5  3  None None           L11631  
  1946.22741   None    None   None     0.000  51381.457  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       9  9  None None           L11631  
  1946.83918   None    None   None     0.000  51365.311  3d6.4s2               a5D       3d7.(2D2).4p          v3F*       9  7  None None           L11631  
  1946.98777   None    None   None     0.000  51361.391  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       9  7  None None           L11631 
  1949.14281   None    None   None     0.000  51304.604  3d6.4s2               a5D       3d7.(2D2).4p          v3F*       9  9  None None           L11631  
  1949.60756   None    None   None   415.933  51708.307  3d6.4s2               a5D       3d7.(2P).4p           y1D*       7  5  None None           L11631  
  1950.22720   None    None   None   415.933  51692.010  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       7  7  None None           L11631  
  1950.64501   None    None   None   704.007  51969.101  3d6.4s2               a5D       3d7.(2P).4p           u3D*       5  7  None None        L11631c80  
  1951.57072   None    None   None   704.007  51944.784  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       5  5  None None           L11631 
  1952.26825   None    None   None   888.132  52110.601  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       3  3  None None           L11631  
  1952.58850   None    None   None   415.933  51630.001  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       7  5  None None           L11631  
  1953.00511   None    None   None   415.933  51619.076  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       7  7  None None           L11631  
  1955.70229   None    None   None   978.074  52110.601  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       1  3  None None           L11631  
  1956.03433   None    None   None   704.007  51827.854  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       5  3  None None           L11631 
  1956.05121   None    None   None   704.007  51827.413  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       5  5  None None           L11631  
  1957.84264   None    None   None     0.000  51076.628  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       9  9  None None           L11631  
  1958.56902   None    None   None   888.132  51945.817  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       3  3  None None           L11631  
  1958.60865   None    None   None   888.132  51944.784  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       3  5  None None           L11631  
  1958.73310   None    None   None   888.132  51941.540  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       3  1  None None           L11631 
