#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
  3168.401 9.3e+06  -1.2    C+  300103.92  331665.59  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  5  None     T6036  L914
  3176.004 6.23e+07 -0.549  C   300387.82  331873.93  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  1  3  None  T7663c79  L914
  3179.975 3.94e+07 -0.747  B   299189.96  330636.75  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  5  3  None     T7663  L914
  3185.465 1.1e+05  -3.1    E   300103.92  331496.51  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  5  5  None  T7663c79  None
  3189.056 1.9e+07  -1.1    E   300387.82  331745.06  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  1  3  None  T6036c79  L914
  3190.712 7.30e+07 -0.253  B+  268762.96  300103.92  2s2.2p5.3s  1P*  2s2.2p5.3p             3P       3  5  None     T7663  L914
  3201.234 1.5e+06  -2.1    E   300507.11  331745.06  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  3  None  T6036c79  L914
  3209.399 4.3e+03  -4.5    E   300507.11  331665.59  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  3  5  None  T7663c79  None
  3213.119 1.12e+08 -0.282  A   268762.96  299885.37  2s2.2p5.3s  1P*  2s2.2p5.3p             1P       3  3  None     T7663  L914
  3217.215 1.4e+07  -0.80   C   300103.92  331186.70  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[7/2]*  5  7  None  T6036c79  L914
  3226.909 1.8e+07  -0.85   E   300507.11  331496.51  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  5  None  T7663c78  L914
  3235.861 1.83e+07 -0.843  B   299885.37  330789.05  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  5  None     T7663  L914
  3251.887 9.65e+06 -1.338  C+  299885.37  330636.75  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  3  None     T7663  L914
  3258.908 1.03e+08 -0.086  B+  300103.92  330789.05  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  5  None     T6036  L914
  3261.155 4.65e+07 -1.130  B   299885.37  330549.35  2s2.2p5.3p  1P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  1  None     T7663  L914
  3275.164 4.29e+07 -0.684  B   300103.92  330636.75  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  5  3  None     T6036  L914
  3286.555 1.10e+08 -0.0487 A   268762.96  299189.96  2s2.2p5.3s  1P*  2s2.2p5.3p             1D       3  5  None     T7663  L914
  3302.299 4.54e+06 -1.429  C   300507.11  330789.05  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  5  None     T6036  L914
  3305.902 3.60e+07 -0.752  B   300387.82  330636.75  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  1  3  None     T6036  L914
  3318.991 4.14e+07 -0.688  B   300507.11  330636.75  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  3  None     T6036  L914
  3328.646 9.45e+07 -0.804  B   300507.11  330549.35  2s2.2p5.3p  3P   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  1  None     T6036  L914
  3401.074 1.24e+06 -2.188  C+  268762.96  298165.44  2s2.2p5.3s  1P*  2s2.2p5.3p             3D       3  3  None     T7663  L914
  3463.486 3.61e+06 -1.489  B   268762.96  297635.61  2s2.2p5.3s  1P*  2s2.2p5.3p             3D       3  5  None     T7663  L914
