 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  2045.944  1.80e+09    1.007 None  180618.7  229495.9   3p5.3d             1F*     3p5.(2P*<1/2>).4f  2[7/2]      7  9  None  T8304  L12188
  2046.086  7.78e+07   -0.466 None  180618.7  229492.5   3p5.3d             1F*     3p5.(2P*<1/2>).4f  2[7/2]      7  7  None  T8304  L12188
  2077.464  9.73e+08    0.644 None  179349.2  227484.8   3p5.3d             1D*     3p5.(2P*<3/2>).4f  2[7/2]      5  7  None  T8304  L12188
  2079.360  1.85e+09    1.033 None  179395.8  227487.5   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[7/2]      7  9  None  T8304  L12188
  2082.552  2.39e+08   -0.110 None  179349.2  227367.2   3p5.3d             1D*     3p5.(2P*<3/2>).4f  2[5/2]      5  5  None  T8304  L12188
  2083.563  1.26e+07   -1.241 None  179349.2  227343.9   3p5.3d             1D*     3p5.(2P*<3/2>).4f  2[5/2]      5  7  None  T8304  L12188
  2084.575  3.79e+06   -1.908 None  179395.8  227367.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[5/2]      7  5  None  T8304  L12188
  2085.589  3.69e+08    0.226 None  179395.8  227343.9   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[5/2]      7  7  None  T8304  L12188
  2090.529  5.71e+08    0.527 None  179395.8  227230.6   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[9/2]      7  9  None  T8304  L12188
  2095.233  2.27e+07   -1.127 None  179395.8  227123.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[3/2]      7  5  None  T8304  L12188
  2123.498  9.37e+05   -2.353 None  180392.7  227484.8   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[7/2]      5  7  None  T8304  L12188
  2128.814  1.66e+07   -1.249 None  180392.7  227367.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[5/2]      5  5  None  T8304  L12188
