#E[cm⁻¹]      g  configuration
 99068.465    4  3d6.(3P2).5s_2P    
 99921.670    2  3d6.(3P2).5s_2P
 99573.244   10  3d6.(3F2).5s_f4F  
 99688.355    8  3d6.(3F2).5s_f4F
 99824.051    6  3d6.(3F2).5s_f4F
 99918.563    4  3d6.(3F2).5s_f4F
 99635.420    8  3d5.(4G).4s.4p.(3P*)_2G*   
 99757.211   10  3d5.(4G).4s.4p.(3P*)_2G* 
 99653.257   10  3d6.(1G1).4p_2G*   
 99808.549    8  3d6.(1G1).4p_2G*
100400.48     6  3d5.(4P).4s.4p.(3P*)_2D*   
100492.025    8  3d6.(3F2).5s_e2F  
100749.825    6  3d6.(3F2).5s_e2F 
101706.498    6  3d5.(4D).4s.4p.(3P*)_4P*   
101573.977    4  3d5.(4D).4s.4p.(3P*)_4P*
101402.37     2  3d5.(4D).4s.4p.(3P*)_4P*
101698.519   10  3d6.(5D).6s_6D    
102030.965    8  3d6.(5D).6s_6D
102334.140    6  3d6.(5D).6s_6D
102543.689    4  3d6.(5D).6s_6D
102666.741    2  3d6.(5D).6s_6D
102490.116   14  3d5.(2I).4s.4p.(3P*)_4K*   
102340.464   12  3d5.(2I).4s.4p.(3P*)_4K*
102394.764    8  3d6.(5D).6s_4D    
102802.353    6  3d6.(5D).6s_4D
103118.421    4  3d6.(5D).6s_4D
103265.738    2  3d6.(5D).6s_4D
102449.14     6  3d5.(4D).4s.4p.(3P*)_2D*   
102503.71     4  3d5.(4D).4s.4p.(3P*)_2D*
102584.984   12  3d6.(3G).5s_f4G  
102824.994   10  3d6.(3G).5s_f4G
103039.222    8  3d6.(3G).5s_f4G
103172.173    6  3d6.(3G).5s_f4G
102831.393   12  3d6.(5D<4>).4f_2[5]* 
102851.394   10  3d6.(5D<4>).4f_2[5]*
102840.320   14  3d6.(5D<4>).4f_2[6]* 
102893.426   12  3d6.(5D<4>).4f_2[6]*
102882.424   10  3d6.(5D<4>).4f_2[4]* 
102887.172    8  3d6.(5D<4>).4f_2[4]*
102942.256    8  3d6.(5D<4>).4f_2[3]* 
102952.170    6  3d6.(5D<4>).4f_2[3]*
103232.372   16  3d5.(2I).4s.4p.(3P*)_4I*   
103121.00    14  3d5.(2I).4s.4p.(3P*)_4I*
102980.30    12  3d5.(2I).4s.4p.(3P*)_4I*
103102.849    8  3d6.(3P2).4d_4D    
103002.660    6  3d6.(3P2).4d_4D
103804.125    2  3d6.(3P2).4d_4D
103040.370   16  3d6.(5D<4>).4f_2[7]* 
103019.688   14  3d6.(5D<4>).4f_2[7]* 
103024.341    6  3d6.(5D<4>).4f_2[2]* 
103034.819    4  3d6.(5D<4>).4f_2[2]*
103094.888    8  3d5.4s.(7S).5s_8S    
103110.835    4  3d6.(5D<4>).4f_2[1]* 
103125.717    2  3d6.(5D<4>).4f_2[1]*
103165.320   10  3d6.(3P2).4d_4F    
104107.939    8  3d6.(3P2).4d_4F
104569.226    6  3d6.(3P2).4d_4F
104572.924    4  3d6.(3P2).4d_4F
103183.69     8  3d5.(4D).4s.4p.(3P*)_2F*   
103334.14     6  3d5.(4D).4s.4p.(3P*)_2F*
103191.968    8  3d6.(3P2).4d_2F    
103597.409    6  3d6.(3P2).4d_2F
103325.974   12  3d6.(5D<3>).4f_2[5]* 
103352.723   10  3d6.(5D<3>).4f_2[5]*
103326.445   10  3d6.(5D<3>).4f_2[4]* 
103340.699    8  3d6.(5D<3>).4f_2[4]*
103385.785    8  3d6.(5D<3>).4f_2[3]* 
103364.897    6  3d6.(5D<3>).4f_2[3]*
103406.327    6  3d6.(5D<3>).4f_2[2]* 
103391.352    4  3d6.(5D<3>).4f_2[2]*
103417.935    4  3d6.(5D<3>).4f_2[1]* 
103437.327    2  3d6.(5D<3>).4f_2[1]*
103418.280    2  3d6.(5D<3>).4f_2[0]* 
103421.213   14  3d6.(5D<3>).4f_2[6]* 
103420.207   12  3d6.(5D<3>).4f_2[6]*
103600.428   12  3d6.(3H).4d_4G    
103771.342   10  3d6.(3H).4d_4G
103921.637    8  3d6.(3H).4d_4G
104042.692    6  3d6.(3H).4d_4G
103608.921   10  3d6.(3G).5s_e2G  
103983.496    8  3d6.(3G).5s_e2G
103617.577   14  3d6.(3H).4d_4H    
103751.672   12  3d6.(3H).4d_4H
103874.261   10  3d6.(3H).4d_4H
103986.338    8  3d6.(3H).4d_4H
103644.766   18  3d6.(3H).4d_4K    
103706.526   16  3d6.(3H).4d_4K
103832.057   14  3d6.(3H).4d_4K
103973.782   12  3d6.(3H).4d_4K
103661.038    6  3d6.(5D<2>).4f_2[2]* 
103645.256    4  3d6.(5D<2>).4f_2[2]*
103668.762    4  3d6.(5D<2>).4f_2[1]* 
103676.286    2  3d6.(5D<2>).4f_2[1]*
103676.848    8  3d6.(5D<2>).4f_2[3]* 
103698.515    6  3d6.(5D<2>).4f_2[3]*
103680.689   10  3d6.(5D<2>).4f_2[5]* 
103691.094   12  3d6.(5D<2>).4f_2[5]*
103683.078   10  3d6.(5D).5d_4F    
103814.552    8  3d6.(5D).5d_4F
104023.921    6  3d6.(5D).5d_4F
106846.649    4  3d6.(5D).5d_4F
103711.610    8  3d6.(5D<2>).4f_2[4]* 
103701.778   10  3d6.(5D<2>).4f_2[4]*
103857.804    6  3d6.(5D<1>).4f_2[2]* 
103869.046    4  3d6.(5D<1>).4f_2[2]*
103874.040   10  3d6.(5D<1>).4f_2[4]* 
103882.740    8  3d6.(5D<1>).4f_2[4]*
103878.370   16  3d6.(3H).4d_4I    
104064.664   14  3d6.(3H).4d_4I
104174.285   12  3d6.(3H).4d_4I
104192.487   10  3d6.(3H).4d_4I
103936.602   12  3d6.(5D).5d_6F    
103950.602   10  3d6.(5D).5d_6F
104380.941    8  3d6.(5D).5d_6F
104426.460    6  3d6.(5D).5d_6F
104630.429    4  3d6.(5D).5d_6F
103967.555    2  3d5.(4P).4s.4p.(3P*)_2S*   
103969.814    8  3d6.(5D<1>).4f_2[3]* 
103988.001    6  3d6.(5D<1>).4f_2[3]* 
104000.810    8  3d6.(5D).5d_6P    
104120.244    6  3d6.(5D).5d_6P
104863.080    4  3d6.(5D).5d_6P
104022.961    8  3d6.(5D<0>).4f_2[3]* 
104046.419    6  3d6.(5D<0>).4f_2[3]* 
104119.740   16  3d6.(3H).4d_2K    
104315.373   14  3d6.(3H).4d_2K
105220.610    8  3d6.(3H).4d_4F    
104189.382    4  3d6.(3H).4d_4F
104507.058    6  3d6.(3H).4d_4F
106722.187   10  3d6.(3H).4d_4F
104481.606    8  3d6.(3H).4d_2F    
104209.618    6  3d6.(3H).4d_2F
104366.802   14  3d6.(5D).5d_6G    
104593.292   12  3d6.(5D).5d_6G
104868.522   10  3d6.(5D).5d_6G
105065.627    8  3d6.(5D).5d_6G
105205.808    6  3d6.(5D).5d_6G
