# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
50095.1  13 3d7.(2H).4p      z1I* 
55372.4  13 3d6.4s.(2H).4p   y1I* 
57854.6   3 3d6.4s.(4D).4d   a3S  
61285.0   3 3d7.(2D).4d      b3S  
19874.5   9 3d6.4s2(6D).0s   a3P  
22961.4   9 3d7.(4P).4s      b3P  
24555.9   9 3d7.(2P).4s      c3P  
54126.8   9 3d7.(4F).4d      d3P  
57918.3   9 3d7.(4P).5s      e3P  
58371.5   9 3d8.(4F).0s      f3P  
58571.2   9 3d7.(4F).5d      g3P  
59077.1   9 3d6.4s.(4D).4d   h3P  
60160.2   9 3d7.(4F).5g      i3P  
60621.1   9 3d7.(4F).6d      j3P  
61501.2   9 3d7.(4F).6g      k3P  
61762.4   9 3d7.(4F).7d      l3P  
62309.9   9 3d7.(4F).7g      m3P  
62362.6   9 3d7.(2P).5s      n3P  
62536.0   9 3d7.(4F).8d      o3P  
26401.7  15 3d7.(2D).4s      a3D  
35675.6  15 3d6.4s2(6D).0s   b3D  
50571.3  15 3d6.4s.(4D).5s   c3D  
53946.9  15 3d7.(4F).4d      d3D  
57580.3  15 3d6.4s.(4D).4d   e3D  
58470.2  15 3d7.(4F).5d      f3D  
60159.1  15 3d7.(4F).5g      g3D  
60580.5  15 3d7.(4F).6d      h3D  
60882.3  15 3d6.4s.(4D).6s   i3D  
61501.2  15 3d7.(4F).6g      j3D  
61755.8  15 3d7.(4F).7d      k3D  
61986.2  15 3d7.(2G).4d      l3D  
62309.9  15 3d7.(4F).7g      m3D  
62473.5  15 3d7.(4F).8d      n3D  
48652.0   3 3d7.(4P).4p      z3S* 
49411.4   3 3d6.4s.(4P).4p   y3S* 
56288.7   3 3d7.(2P).4p      x3S* 
57683.4   3 3d7.(4F).4f      w3S* 
60141.5   3 3d7.(4F).5f      v3S* 
60784.6   3 3d7.(2P).5p      u3S* 
61505.6   3 3d7.(4F).6f      t3S* 
62309.9   3 3d7.(4F).7f      s3S* 
31660.3   9 3d6.4s.(4D).4p   z3P* 
47184.9   9 3d6.4s.(4P).4p   y3P* 
49572.7   9 3d7.(4P).4p      x3P* 
52530.2   9 3d7.(2P).4p      w3P* 
56297.4   9 3d6.4s.(4D).5p   v3P* 
57537.5   9 3d6.4s.(4D).6p   u3P* 
57694.4   9 3d7.(4F).4f      t3P* 
60150.3   9 3d7.(4F).5f      s3P* 
61493.5   9 3d7.(4F).6f      r3P* 
62051.0   9 3d7.(4P).5p      q3P* 
62308.9   9 3d7.(4F).7f      p3P* 
28814.8  15 3d7.(4F).4p      z3D* 
37594.9  15 3d6.4s.(4D).4p   y3D* 
45820.8  15 3d7.(4P).4p      x3D* 
48389.8  15 3d6.4s.(4F).4p   w3D* 
52580.6  15 3d7.(4F).5p      v3D* 
53268.7  15 3d7.(2P).4p      u3D* 
54508.7  15 3d7.(2D).4p      t3D* 
56275.5  15 3d6.4s.(4P).4p   s3D* 
57145.7  15 3d6.4s.(4D).5p   r3D* 
57682.3  15 3d7.(4F).4f      q3D* 
57868.9  15 3d7.(4F).6p      p3D* 
