#E[cm⁻¹]     g  configuration         term  p  ref
122433.2     5  2s2.2p3.(2D*).4s       3D*  o  NIST
122441.0     3  2s2.2p3.(2D*).4s       3D*  o  NIST
122797.661   5  2s2.2p3.(2D*<3/2>).4s  1D*  o  NIST
123296.777   5  2s2.2p3.(2D*<3/2>).3d  3P*  o  NIST
123355.512   3  2s2.2p3.(2D*<3/2>).3d  3P*  o  NIST
123387.339   1  2s2.2p3.(2D*<3/2>).3d  3P*  o  NIST
124213.607   9  2s2.2p3.(2D*<5/2>).3d  3F*  o  NIST
124219.025   7  2s2.2p3.(2D*<5/2>).3d  3F*  o  NIST
124224.118   5  2s2.2p3.(2D*<5/2>).3d  3F*  o  NIST
124238.650   9  2s2.2p3.(2D*).3d       3G*  o  NIST
124240.118  11  2s2.2p3.(2D*).3d       3G*  o  NIST
124242.576   1  2s2.2p3.(2D*<5/2>).3d  1S*  o  NIST
124247.1     7  2s2.2p3.(2D*<5/2>).3d  3D*  o  NIST
124252.926   7  2s2.2p3.(2D*).3d       3G*  o  NIST
124257.7     5  2s2.2p3.(2D*<5/2>).3d  3D*  o  NIST
124258.780   9  2s2.2p3.(2D*<3/2>).3d  1G*  o  NIST
124264.0     3  2s2.2p3.(2D*<5/2>).3d  3D*  o  NIST
124274       3  2s2.2p3.(2D*<5/2>).3d  1P*  o  NIST
124319.175   5  2s2.2p3.(2D*<3/2>).3d  1D*  o  NIST
124326.779   7  2s2.2p3.(2D*<3/2>).3d  1F*  o  NIST
124336.3     3  2s2.2p3.(2D*<3/2>).3d  3S*  o  NIST
125775.493   7  2s2.2p3.(2D*).4p       3D   e  NIST
125782.889   5  2s2.2p3.(2D*).4p       3D   e  NIST
125788.008   3  2s2.2p3.(2D*).4p       3D   e  NIST
126266.896   5  2s.2p5                 3P*  o  NIST
126340.225   3  2s.2p5                 3P*  o  NIST
126383.751   1  2s.2p5                 3P*  o  NIST
127282.626   7  2s2.2p3.(2P*).3p       3D   e  NIST
127288.349   5  2s2.2p3.(2P*).3p       3D   e  NIST
127291.638   3  2s2.2p3.(2P*).3p       3D   e  NIST
127667.754   3  2s2.2p3.(2P*).3p       1P   e  NIST
128594.916   5  2s2.2p3.(2P*).3p       1D   e  NIST
128978.8     7  2s2.2p3.(2D*).5s       3D*  o  NIST
128990.2     5  2s2.2p3.(2D*).5s       3D*  o  NIST
128998.2     3  2s2.2p3.(2D*).5s       3D*  o  NIST
129132.323   5  2s2.2p3.(2D*<3/2>).5s  1D*  o  NIST
129666.907   9  2s2.2p3.(2D*<5/2>).4d  3F*  o  NIST
129679.841   9  2s2.2p3.(2D*).4d       3G*  o  NIST
129680.522  11  2s2.2p3.(2D*).4d       3G*  o  NIST
129682.528   1  2s2.2p3.(2D*<5/2>).4d  1S*  o  NIST
